Time,Humidity,TempC,TempF,HIC,HIF
0,30.0,24.0,75.2,23.2,73.8
1,30.0,24.0,75.2,23.2,73.8
2,30.0,24.0,75.2,23.2,73.8
3,30.0,24.0,75.2,23.2,73.8
4,30.0,24.0,75.2,23.2,73.8
5,30.0,24.0,75.2,23.2,73.8
6,30.0,24.0,75.2,23.2,73.8
7,30.0,24.0,75.2,23.2,73.8
8,30.0,24.0,75.2,23.2,73.8
9,30.0,24.0,75.2,23.2,73.8
10,30.0,24.0,75.2,23.2,73.8
11,30.0,24.0,75.2,23.2,73.8
12,30.0,24.0,75.2,23.2,73.8
13,30.0,24.0,75.2,23.2,73.8
14,26.0,24.0,75.2,23.1,73.6
15,30.0,24.0,75.2,23.2,73.8
16,30.0,24.0,75.2,23.2,73.8
17,30.0,24.0,75.2,23.2,73.8
18,30.0,24.0,75.2,23.2,73.8
19,30.0,24.0,75.2,23.2,73.8
20,28.0,24.0,75.2,23.2,73.7
